iRun        fRun    Xangle	R2p		R0(45)	R0(56)	    R00(45)	R00(56)
297046 	    299329	120	    0.0345	0.7409	0.7105	    0.8605	0.8412
297046 	    299329	130	    0.0345	0.7051	0.6793      0.7749	0.7409
297046 	    299329	140	    0.0345	0.6931	0.6722	    0.7137	0.6752
297046 	    299329	150	    0.0345	0.6852	0.6710	    0.6359	0.5948
299368	    302029	120	    0.0421	0.7430	0.7085	    0.8687	0.8370
299368	    302029	130	    0.0421	0.7100	0.6800	    0.7888	0.7400
299368	    302029	140	    0.0421	0.6945	0.6704	    0.7181	0.6607
299368	    302029	150	    0.0421	0.6880	0.6706	    0.6510	0.5896
302031	    302663	120	    0.0364	0.7414	0.7051	    0.8665	0.8273
302031	    302663	130	    0.0364	0.7104	0.6802	    0.7920	0.7376
302031	    302663	140	    0.0364	0.6955	0.6705	    0.7353	0.6729
302031	    302663	150	    0.0364	0.6882	0.6693	    0.6713	0.6010
303824	    304672	120	    0.0064	1.0000	0.6765	    1.0000	0.6572
303824	    304672	130	    0.0064	1.0000	0.6837	    1.0000	0.4822
303824	    304672	140	    0.0064	1.0000	0.7030	    1.0000	0.3791
303824	    304672	150	    0.0064	1.0000	0.7147	    1.0000	0.3467
304737	    304797	120	    0.0064	0.6879	0.6768      0.6945	0.6307
304737	    304797	130	    0.0064	0.6939	0.7006	    0.4680	0.3976
304737	    304797	140	    0.0064	0.7201	0.7353	    0.3556	0.2982
304737	    304797	150	    0.0064	0.7205	0.7342	    0.3493	0.2904
305040	    306462	120	    0.0316	0.6965	0.6862      0.6803	0.6053
305040	    306462	130	    0.0316	0.7007	0.7087	    0.4667	0.3813
305040	    306462	140	    0.0316	0.7163	0.7317	    0.3878	0.3100
305040	    306462	150	    0.0316	0.7236	0.7380	    0.3593	0.2862

